dataset_row_zero_based,mol_id,failing_operation,atom_index,exception_type,message,rdkit_version
11133,1206,Chem.RemoveHs,2,AtomValenceException,"Explicit valence for atom # 2 C, 4, is greater than permitted",2026.03.4
11509,16728,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
11539,72267,Chem.RemoveHs,6,AtomValenceException,"Explicit valence for atom # 6 C, 4, is greater than permitted",2026.03.4
11697,84619,Chem.RemoveHs,5,AtomValenceException,"Explicit valence for atom # 5 C, 4, is greater than permitted",2026.03.4
11794,40364,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
12311,87021,Chem.RemoveHs,7,AtomValenceException,"Explicit valence for atom # 7 C, 4, is greater than permitted",2026.03.4
12573,81226,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
12582,31827,Chem.RemoveHs,7,AtomValenceException,"Explicit valence for atom # 7 C, 4, is greater than permitted",2026.03.4
13004,64764,Chem.RemoveHs,2,AtomValenceException,"Explicit valence for atom # 2 C, 4, is greater than permitted",2026.03.4
13287,34110,Chem.RemoveHs,2,AtomValenceException,"Explicit valence for atom # 2 C, 4, is greater than permitted",2026.03.4
13377,81874,Chem.RemoveHs,2,AtomValenceException,"Explicit valence for atom # 2 C, 4, is greater than permitted",2026.03.4
13527,18842,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
13613,90911,Chem.RemoveHs,5,AtomValenceException,"Explicit valence for atom # 5 C, 4, is greater than permitted",2026.03.4
13710,15356,Chem.RemoveHs,4,AtomValenceException,"Explicit valence for atom # 4 C, 4, is greater than permitted",2026.03.4
13741,96195,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
13934,89260,Chem.RemoveHs,3,AtomValenceException,"Explicit valence for atom # 3 C, 4, is greater than permitted",2026.03.4
14587,68446,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
15022,50692,Chem.RemoveHs,5,AtomValenceException,"Explicit valence for atom # 5 C, 4, is greater than permitted",2026.03.4
15260,74858,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
15638,97646,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
15805,31546,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
15890,45115,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
16298,87020,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
16997,97931,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
17082,97349,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
17374,40205,Chem.RemoveHs,4,AtomValenceException,"Explicit valence for atom # 4 C, 4, is greater than permitted",2026.03.4
17505,33900,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
18589,23389,Chem.RemoveHs,2,AtomValenceException,"Explicit valence for atom # 2 C, 4, is greater than permitted",2026.03.4
18660,36646,Chem.RemoveHs,4,AtomValenceException,"Explicit valence for atom # 4 C, 4, is greater than permitted",2026.03.4
19110,61073,Chem.RemoveHs,2,AtomValenceException,"Explicit valence for atom # 2 C, 4, is greater than permitted",2026.03.4
19133,25914,Chem.RemoveHs,2,AtomValenceException,"Explicit valence for atom # 2 C, 4, is greater than permitted",2026.03.4
19643,95674,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
19658,90958,Chem.RemoveHs,2,AtomValenceException,"Explicit valence for atom # 2 C, 4, is greater than permitted",2026.03.4
20303,95021,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
21459,58368,Chem.RemoveHs,4,AtomValenceException,"Explicit valence for atom # 4 C, 4, is greater than permitted",2026.03.4
21528,10147,Chem.RemoveHs,2,AtomValenceException,"Explicit valence for atom # 2 C, 4, is greater than permitted",2026.03.4
21850,6371,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
22310,6585,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
22319,88668,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
22543,29526,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
22613,9946,Chem.RemoveHs,2,AtomValenceException,"Explicit valence for atom # 2 C, 4, is greater than permitted",2026.03.4
22839,19322,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
22921,28084,Chem.RemoveHs,6,AtomValenceException,"Explicit valence for atom # 6 C, 4, is greater than permitted",2026.03.4
23305,72977,Chem.RemoveHs,5,AtomValenceException,"Explicit valence for atom # 5 C, 4, is greater than permitted",2026.03.4
23321,78352,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
23453,12022,Chem.RemoveHs,5,AtomValenceException,"Explicit valence for atom # 5 C, 4, is greater than permitted",2026.03.4
23644,11856,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
23813,21313,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
24046,97277,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
24678,67430,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
24731,13364,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
25146,77467,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
25570,44170,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
25595,45556,Chem.RemoveHs,2,AtomValenceException,"Explicit valence for atom # 2 C, 4, is greater than permitted",2026.03.4
26880,48919,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
27158,42963,Chem.RemoveHs,6,AtomValenceException,"Explicit valence for atom # 6 C, 4, is greater than permitted",2026.03.4
27244,77264,Chem.RemoveHs,2,AtomValenceException,"Explicit valence for atom # 2 C, 4, is greater than permitted",2026.03.4
27639,82637,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
27647,62441,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
27757,23816,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
28018,15240,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
28233,92179,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
29245,27619,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
29937,75065,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
30428,33578,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
30446,49250,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
31682,64906,Chem.RemoveHs,5,AtomValenceException,"Explicit valence for atom # 5 C, 4, is greater than permitted",2026.03.4
32293,72103,Chem.RemoveHs,6,AtomValenceException,"Explicit valence for atom # 6 C, 4, is greater than permitted",2026.03.4
32650,76978,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
32687,88562,Chem.RemoveHs,6,AtomValenceException,"Explicit valence for atom # 6 C, 4, is greater than permitted",2026.03.4
32895,69031,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
34437,95165,Chem.RemoveHs,2,AtomValenceException,"Explicit valence for atom # 2 C, 4, is greater than permitted",2026.03.4
34479,64576,Chem.RemoveHs,7,AtomValenceException,"Explicit valence for atom # 7 C, 4, is greater than permitted",2026.03.4
34502,44538,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
34773,8331,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
34832,74197,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
36865,86320,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
37084,2393,Chem.RemoveHs,5,AtomValenceException,"Explicit valence for atom # 5 C, 4, is greater than permitted",2026.03.4
37402,23873,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
37475,59556,Chem.RemoveHs,4,AtomValenceException,"Explicit valence for atom # 4 C, 4, is greater than permitted",2026.03.4
37726,57273,Chem.RemoveHs,2,AtomValenceException,"Explicit valence for atom # 2 C, 4, is greater than permitted",2026.03.4
37827,86574,Chem.RemoveHs,2,AtomValenceException,"Explicit valence for atom # 2 C, 4, is greater than permitted",2026.03.4
37982,39982,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
38298,46835,Chem.RemoveHs,2,AtomValenceException,"Explicit valence for atom # 2 C, 4, is greater than permitted",2026.03.4
38299,53322,Chem.RemoveHs,5,AtomValenceException,"Explicit valence for atom # 5 C, 4, is greater than permitted",2026.03.4
38370,64909,Chem.RemoveHs,2,AtomValenceException,"Explicit valence for atom # 2 C, 4, is greater than permitted",2026.03.4
38643,37097,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
39039,45957,Chem.RemoveHs,6,AtomValenceException,"Explicit valence for atom # 6 C, 4, is greater than permitted",2026.03.4
39807,76213,Chem.RemoveHs,2,AtomValenceException,"Explicit valence for atom # 2 C, 4, is greater than permitted",2026.03.4
39843,64260,Chem.RemoveHs,2,AtomValenceException,"Explicit valence for atom # 2 C, 4, is greater than permitted",2026.03.4
40204,3505,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
40343,83578,Chem.RemoveHs,4,AtomValenceException,"Explicit valence for atom # 4 C, 4, is greater than permitted",2026.03.4
40387,84376,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
40446,80824,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
41139,90169,Chem.RemoveHs,5,AtomValenceException,"Explicit valence for atom # 5 C, 4, is greater than permitted",2026.03.4
41276,24719,Chem.RemoveHs,6,AtomValenceException,"Explicit valence for atom # 6 C, 4, is greater than permitted",2026.03.4
41450,97194,Chem.RemoveHs,5,AtomValenceException,"Explicit valence for atom # 5 C, 4, is greater than permitted",2026.03.4
42123,71125,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
42127,10545,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
42452,50030,Chem.RemoveHs,2,AtomValenceException,"Explicit valence for atom # 2 C, 4, is greater than permitted",2026.03.4
42519,65486,Chem.RemoveHs,2,AtomValenceException,"Explicit valence for atom # 2 C, 4, is greater than permitted",2026.03.4
42735,94938,Chem.RemoveHs,4,AtomValenceException,"Explicit valence for atom # 4 C, 4, is greater than permitted",2026.03.4
43163,84832,Chem.RemoveHs,6,AtomValenceException,"Explicit valence for atom # 6 C, 4, is greater than permitted",2026.03.4
43218,93292,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
43425,80934,Chem.RemoveHs,6,AtomValenceException,"Explicit valence for atom # 6 C, 4, is greater than permitted",2026.03.4
43656,39183,Chem.RemoveHs,2,AtomValenceException,"Explicit valence for atom # 2 C, 4, is greater than permitted",2026.03.4
43733,66512,Chem.RemoveHs,6,AtomValenceException,"Explicit valence for atom # 6 C, 4, is greater than permitted",2026.03.4
45186,37960,Chem.RemoveHs,5,AtomValenceException,"Explicit valence for atom # 5 C, 4, is greater than permitted",2026.03.4
45408,89541,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
45514,10423,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
45756,63643,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
46024,95958,Chem.RemoveHs,2,AtomValenceException,"Explicit valence for atom # 2 C, 4, is greater than permitted",2026.03.4
46030,61562,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
46075,58397,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
46199,58714,Chem.RemoveHs,4,AtomValenceException,"Explicit valence for atom # 4 C, 4, is greater than permitted",2026.03.4
46581,66336,Chem.RemoveHs,6,AtomValenceException,"Explicit valence for atom # 6 C, 4, is greater than permitted",2026.03.4
46689,13988,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
46790,20650,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
47138,95503,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
47889,57773,Chem.RemoveHs,2,AtomValenceException,"Explicit valence for atom # 2 C, 4, is greater than permitted",2026.03.4
48062,15559,Chem.RemoveHs,4,AtomValenceException,"Explicit valence for atom # 4 C, 4, is greater than permitted",2026.03.4
49073,65856,Chem.RemoveHs,2,AtomValenceException,"Explicit valence for atom # 2 C, 4, is greater than permitted",2026.03.4
49149,57579,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
49174,65884,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
49195,6623,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
49462,94808,Chem.RemoveHs,4,AtomValenceException,"Explicit valence for atom # 4 C, 4, is greater than permitted",2026.03.4
49520,44626,Chem.RemoveHs,7,AtomValenceException,"Explicit valence for atom # 7 C, 4, is greater than permitted",2026.03.4
49578,26216,Chem.RemoveHs,2,AtomValenceException,"Explicit valence for atom # 2 C, 4, is greater than permitted",2026.03.4
50195,50896,Chem.RemoveHs,3,AtomValenceException,"Explicit valence for atom # 3 C, 4, is greater than permitted",2026.03.4
50219,95328,Chem.RemoveHs,5,AtomValenceException,"Explicit valence for atom # 5 C, 4, is greater than permitted",2026.03.4
50284,51746,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
50571,49829,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
50824,28081,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
50894,68165,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
51217,53768,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
51436,71353,Chem.RemoveHs,6,AtomValenceException,"Explicit valence for atom # 6 C, 4, is greater than permitted",2026.03.4
51530,62770,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
51541,62093,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
51561,29081,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
51688,57767,Chem.RemoveHs,7,AtomValenceException,"Explicit valence for atom # 7 C, 4, is greater than permitted",2026.03.4
52514,23686,Chem.RemoveHs,2,AtomValenceException,"Explicit valence for atom # 2 C, 4, is greater than permitted",2026.03.4
52736,38464,Chem.RemoveHs,5,AtomValenceException,"Explicit valence for atom # 5 C, 4, is greater than permitted",2026.03.4
52955,18077,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
53851,46693,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
54442,71574,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
54896,85780,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
55391,58230,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
55643,84327,Chem.RemoveHs,2,AtomValenceException,"Explicit valence for atom # 2 C, 4, is greater than permitted",2026.03.4
55738,87584,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
55801,1001,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
56659,86310,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
56763,53008,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
56831,60726,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
56950,44202,Chem.RemoveHs,5,AtomValenceException,"Explicit valence for atom # 5 C, 4, is greater than permitted",2026.03.4
57022,45129,Chem.RemoveHs,6,AtomValenceException,"Explicit valence for atom # 6 C, 4, is greater than permitted",2026.03.4
58013,10707,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
58062,68116,Chem.RemoveHs,6,AtomValenceException,"Explicit valence for atom # 6 C, 4, is greater than permitted",2026.03.4
58089,78465,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
58721,4614,Chem.RemoveHs,7,AtomValenceException,"Explicit valence for atom # 7 C, 4, is greater than permitted",2026.03.4
59025,4846,Chem.RemoveHs,5,AtomValenceException,"Explicit valence for atom # 5 C, 4, is greater than permitted",2026.03.4
59146,54829,Chem.RemoveHs,7,AtomValenceException,"Explicit valence for atom # 7 C, 4, is greater than permitted",2026.03.4
59828,3316,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
60292,54870,Chem.RemoveHs,2,AtomValenceException,"Explicit valence for atom # 2 C, 4, is greater than permitted",2026.03.4
60483,55432,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
60508,7526,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
60805,4464,Chem.RemoveHs,6,AtomValenceException,"Explicit valence for atom # 6 C, 4, is greater than permitted",2026.03.4
61444,52865,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
61820,91635,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
62100,93471,Chem.RemoveHs,5,AtomValenceException,"Explicit valence for atom # 5 C, 4, is greater than permitted",2026.03.4
62165,98462,Chem.RemoveHs,2,AtomValenceException,"Explicit valence for atom # 2 C, 4, is greater than permitted",2026.03.4
62209,45590,Chem.RemoveHs,4,AtomValenceException,"Explicit valence for atom # 4 C, 4, is greater than permitted",2026.03.4
62288,27228,Chem.RemoveHs,5,AtomValenceException,"Explicit valence for atom # 5 C, 4, is greater than permitted",2026.03.4
62343,48090,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
62540,72932,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
63045,28338,Chem.RemoveHs,3,AtomValenceException,"Explicit valence for atom # 3 C, 4, is greater than permitted",2026.03.4
63400,15225,Chem.RemoveHs,2,AtomValenceException,"Explicit valence for atom # 2 C, 4, is greater than permitted",2026.03.4
63469,84330,Chem.RemoveHs,5,AtomValenceException,"Explicit valence for atom # 5 C, 4, is greater than permitted",2026.03.4
63813,80469,Chem.RemoveHs,2,AtomValenceException,"Explicit valence for atom # 2 C, 4, is greater than permitted",2026.03.4
64322,32085,Chem.RemoveHs,6,AtomValenceException,"Explicit valence for atom # 6 C, 4, is greater than permitted",2026.03.4
64474,52855,Chem.RemoveHs,4,AtomValenceException,"Explicit valence for atom # 4 C, 4, is greater than permitted",2026.03.4
64676,10007,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
64779,19312,Chem.RemoveHs,2,AtomValenceException,"Explicit valence for atom # 2 C, 4, is greater than permitted",2026.03.4
65232,44335,Chem.RemoveHs,2,AtomValenceException,"Explicit valence for atom # 2 C, 4, is greater than permitted",2026.03.4
65729,12697,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
66224,81708,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
66340,31813,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
66468,39745,Chem.RemoveHs,2,AtomValenceException,"Explicit valence for atom # 2 C, 4, is greater than permitted",2026.03.4
67108,41506,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
67258,21979,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
67641,59746,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
68604,28095,Chem.RemoveHs,7,AtomValenceException,"Explicit valence for atom # 7 C, 4, is greater than permitted",2026.03.4
68774,57988,Chem.RemoveHs,5,AtomValenceException,"Explicit valence for atom # 5 C, 4, is greater than permitted",2026.03.4
68843,83650,Chem.RemoveHs,2,AtomValenceException,"Explicit valence for atom # 2 C, 4, is greater than permitted",2026.03.4
